Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30,What is your overall suggestion?,What is your experience with our services?
Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Disagree,Agree,Neutral,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Agree,More branches should be opened in rural areas.,More branches should be opened in rural areas.
Disagree,Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Agree,Strongly Agree,Neutral,I want to see more financial literacy programs.,Please improve the online banking UI.
Neutral,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,Agree,Strongly Disagree,Disagree,Agree,Strongly Disagree,Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,I want to see more financial literacy programs.,The bank should lower interest rates.
Strongly Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Agree,Agree,Strongly Disagree,Agree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree,Neutral,I want to see more financial literacy programs.,I think the service could be faster.
Agree,Disagree,Disagree,Neutral,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Disagree,Neutral,Strongly Agree,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,The bank should lower interest rates.,The bank should lower interest rates.
Strongly Agree,Disagree,Disagree,Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,More ATMs are needed in my area.,The bank should lower interest rates.
Agree,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Agree,Neutral,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,"Everything is fine, no suggestions.",More branches should be opened in rural areas.
Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Disagree,Neutral,Strongly Agree,Please improve the online banking UI.,Customer support was very helpful.
Strongly Disagree,Disagree,Disagree,Agree,Strongly Agree,Neutral,Disagree,Strongly Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Strongly Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,"Everything is fine, no suggestions.",I want to see more financial literacy programs.
Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Agree,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Agree,Agree,Disagree,Strongly Disagree,Agree,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Disagree,I want to see more financial literacy programs.,More ATMs are needed in my area.
